mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999990320705
layer_patch_hidden,hidden_states,1,0.999999999581353
layer_patch_hidden,hidden_states,2,0.999999999674084
layer_patch_hidden,hidden_states,3,0.9999999997446248
layer_patch_hidden,hidden_states,4,0.9999999997241322
layer_patch_hidden,hidden_states,5,0.9999999997842262
layer_patch_hidden,hidden_states,6,0.9999999998159226
layer_patch_hidden,hidden_states,7,0.9999999997981126
layer_patch_hidden,hidden_states,8,0.99999999986555
layer_patch_hidden,hidden_states,9,0.9999999999331994
layer_patch_hidden,hidden_states,10,0.9999999999639404
layer_patch_hidden,hidden_states,11,0.9999999960170888
layer_patch_mixed,mixed,mixed,0.9987711564066445
layer_patch_repr,repr,repr,0.986430694478305
pool_weight_transplant,layer_contrib,0,0.9842005379501563
pool_weight_transplant,layer_contrib,1,0.9867907214561755
pool_weight_transplant,layer_contrib,2,0.9858151975751023
pool_weight_transplant,layer_contrib,3,0.9830302085755209
pool_weight_transplant,layer_contrib,4,0.9591826299260172
pool_weight_transplant,layer_contrib,5,0.9384803584805025
pool_weight_transplant,layer_contrib,6,0.8795972284461396
pool_weight_transplant,layer_contrib,7,0.7686063224259548
pool_weight_transplant,layer_contrib,8,0.7457311997521039
pool_weight_transplant,layer_contrib,9,0.7407320231885157
pool_weight_transplant,layer_contrib,10,0.7182056675427998
pool_weight_transplant,layer_contrib,11,0.061766120225886324
