mode,representation_mode,layer_key,cka
layer_patch_hidden,hidden_states,0,0.9999999996395117
layer_patch_hidden,hidden_states,1,0.9999999998051692
layer_patch_hidden,hidden_states,2,0.9999999997725187
layer_patch_hidden,hidden_states,3,0.999999999771689
layer_patch_hidden,hidden_states,4,0.9999999997628468
layer_patch_hidden,hidden_states,5,0.9999999998570653
layer_patch_hidden,hidden_states,6,0.9999999998715597
layer_patch_hidden,hidden_states,7,0.9999999998687578
layer_patch_hidden,hidden_states,8,0.9999999999236538
layer_patch_hidden,hidden_states,9,0.999999999963372
layer_patch_hidden,hidden_states,10,0.999999999983522
layer_patch_hidden,hidden_states,11,0.9999999983450689
layer_patch_mixed,mixed,mixed,0.9984665986592605
layer_patch_repr,repr,repr,0.9881738989088723
pool_weight_transplant,layer_contrib,0,0.9703085160428627
pool_weight_transplant,layer_contrib,1,0.9890455453479731
pool_weight_transplant,layer_contrib,2,0.9753599931863114
pool_weight_transplant,layer_contrib,3,0.9864526564940055
pool_weight_transplant,layer_contrib,4,0.9777008674591651
pool_weight_transplant,layer_contrib,5,0.9702274336687595
pool_weight_transplant,layer_contrib,6,0.9302792961701787
pool_weight_transplant,layer_contrib,7,0.8721179753120005
pool_weight_transplant,layer_contrib,8,0.8899977878099649
pool_weight_transplant,layer_contrib,9,0.8841532093008572
pool_weight_transplant,layer_contrib,10,0.8442414137074865
pool_weight_transplant,layer_contrib,11,0.09802701198204243
